x,y
2280,39
2278,43
2275,48
2271,55
2267,63
2263,69
2260,74
2257,79
2255,83
2252,86
2249,91
2246,96
2244,100
2241,105
2239,108
2237,111
2234,116
2229,124
2226,131
2223,135
2220,139
2218,143
2215,147
2212,152
2210,156
2208,160
2206,164
2204,167
2203,169
2200,173
2198,176
2197,179
2194,184
2191,190
2189,195
2187,198
2185,201
2183,205
2181,209
2178,213
2175,217
2174,220
2171,223
2169,227
2166,231
2164,235
2162,238
2161,241
2159,244
2157,246
2156,250
2154,252
2152,255
2150,259
2148,262
2146,265
2144,268
2142,271
2140,275
2138,279
2128,296
2134,287
2132,289
2130,293
2129,296
2127,298
2125,301
2124,304
2122,306
2120,309
2118,312
2116,316
2114,319
2113,322
2111,325
2109,327
2107,330
2106,334
2103,337
2101,340
2098,344
2096,348
2094,353
2092,357
2090,360
2089,363
2088,365
2086,367
2085,370
2083,373
2081,376
2079,379
2077,383
2075,386
2073,390
2071,395
2068,399
2066,402
2065,406
2062,410
2060,413
2058,417
2055,421
2052,424
2049,430
2047,435
2044,440
2042,445
2039,449
2036,453
2034,458
2031,462
2029,466
2026,471
2024,475
2021,479
2018,483
2016,487
2014,490
2011,494
2009,497
2006,502
1972,561
1975,556
1978,552
1981,547
1985,541
1988,537
1990,533
1994,527
1997,521
2000,516
2003,511
2004,506
1970,566
1968,570
1965,574
1962,578
1959,582
1957,586
1954,590
1952,595
1950,599
1948,601
1946,605
1943,609
1941,613
1939,616
1937,620
1935,623
1932,627
1930,632
1928,635
1925,640
1922,643
1919,647
1916,652
1914,656
1911,660
1909,665
1906,670
1903,674
1900,679
1897,684
1895,690
1892,694
1888,699
1886,703
1882,708
1878,715
1875,722
1872,727
1868,733
1865,738
1861,745
1858,749
1854,755
1850,761
1847,765
1843,772
1840,777
1837,783
1833,788
1830,795
1827,800
1825,806
1821,811
1818,817
1815,822
1811,828
1808,834
1805,840
1801,846
1797,853
1793,859
1790,865
1787,871
1783,876
1780,883
1776,889
1772,896
1767,902
1763,909
1760,915
1757,921
1753,927
1750,933
1745,940
1742,945
1738,951
1733,958
1729,966
1725,974
1722,981
1718,986
1714,992
1709,998
1704,1007
1699,1014
1696,1019
1693,1026
1691,1031
1687,1036
1684,1041
1681,1047
1677,1053
1673,1059
1669,1066
1665,1072
1663,1078
1659,1084
1655,1090
1652,1096
1649,1102
1645,1108
1641,1116
1637,1123
1633,1129
1630,1135
1626,1140
1622,1147
1618,1152
1614,1159
1610,1165
1606,1171
1602,1178
1599,1186
1596,1192
1592,1197
1587,1202
1583,1208
1581,1214
1578,1219
1575,1224
1571,1229
1568,1235
1565,1241
1560,1247
1556,1254
1552,1260
1549,1266
1545,1271
1542,1277
1538,1283
1535,1290
1531,1296
1526,1304
1523,1309
1519,1316
1516,1320
1513,1325
1510,1330
1507,1335
1504,1340
1501,1347
1497,1353
1494,1358
1490,1366
1485,1374
1481,1381
1477,1387
1473,1393
1470,1399
1467,1404
1462,1411
1456,1417
1452,1423
1449,1429
1446,1434
1443,1440
1439,1448
1436,1456
1432,1462
1427,1470
1423,1475
1419,1482
1415,1487
1411,1493
1407,1499
1404,1505
1400,1511
1396,1517
1393,1523
1390,1529
1385,1536
1382,1543
1378,1550
1374,1556
1371,1562
1367,1568
1364,1573
1358,1580
1354,1588
1350,1594
1346,1600
1341,1608
1337,1616
1333,1624
1328,1632
1324,1638
1321,1644
1318,1648
1315,1653
1312,1658
1309,1664
1306,1669
1302,1675
1299,1680
1296,1686
1292,1692
1288,1698
1284,1704
1280,1710
1276,1715
1273,1720
1270,1726
1267,1731
1263,1736
1260,1741
1257,1745
1255,1750
1252,1754
1249,1758
1246,1764
1244,1770
1242,1775
1239,1779
1237,1782
1234,1787
1232,1791
1229,1795
1226,1800
1223,1804
1221,1808
1219,1812
1216,1818
1212,1823
1209,1829
1205,1835
1202,1841
1199,1845
1197,1848
1195,1852
1193,1855
1190,1859
1187,1863
1184,1868
1183,1871
1180,1875
1178,1879
1175,1884
1172,1888
1169,1893
1166,1897
1164,1901
1161,1906
1159,1911
1157,1915
1154,1920
1152,1924
1149,1929
1147,1933
1145,1936
1143,1939
1140,1942
1138,1945
1136,1948
1134,1951
1132,1954
1130,1956
1129,1959
1127,1962
1125,1965
1123,1968
1121,1971
1119,1974
1117,1977
1116,1980
1114,1983
1112,1986
1110,1989
1108,1993
1106,1997
1104,2001
1102,2005
1100,2008
1099,2010
1096,2017
1092,2022
1089,2026
1087,2030
1085,2034
1083,2038
1081,2041
1078,2044
1076,2047
