x,y
623,322
635,333
644,342
653,349
663,357
671,365
680,372
689,376
699,381
708,387
716,392
723,398
730,403
738,409
746,417
752,423
760,430
769,436
777,442
785,447
793,452
802,457
810,462
817,466
825,471
835,476
844,480
852,484
860,489
868,494
876,500
884,505
892,511
899,516
906,521
913,528
922,535
929,542
937,548
945,555
952,562
961,568
969,575
978,579
987,583
997,585
1007,588
1016,590
1025,591
1034,592
1043,593
1051,596
1059,599
1067,602
1075,606
1082,611
1089,615
1097,620
1104,624
1112,629
1122,634
1131,639
1140,644
1148,648
1155,651
1163,655
1170,659
1179,663
1189,666
1199,671
1209,676
1217,680
1227,683
1237,688
1246,693
1256,697
1266,701
1276,705
1285,709
1294,711
1302,714
1311,716
1319,719
1327,723
1334,727
1342,731
1350,737
1358,742
1366,748
1376,754
1385,760
1394,766
1403,770
1411,775
1421,779
1431,783
1441,786
1451,789
1462,791
1472,793
1482,795
1490,797
1499,798
1508,800
1517,803
1525,806
1533,809
1539,813
1546,817
1552,822
1558,826
1565,830
1571,834
1576,838
1581,842
1587,845
1592,848
1598,852
1604,855
1610,858
1615,862
1620,865
1626,869
1631,873
1636,877
1641,880
1647,884
1655,890
1664,896
1673,901
1681,906
1689,912
1697,918
1704,924
1713,930
1721,936
1728,941
1736,946
1746,952
1756,956
1765,960
1773,965
1780,971
1788,976
1796,982
1804,987
1814,995
1823,1003
1831,1011
1840,1016
1850,1023
1860,1028
1869,1033
1879,1037
1889,1039
1899,1043
1909,1047
1918,1051
1927,1055
1935,1059
1941,1063
1948,1067
1955,1072
1963,1078
1971,1083
1977,1089
1983,1094
1989,1100
1994,1106
2002,1113
2008,1120
2013,1126
2018,1133
2023,1139
2028,1145
2034,1151
2040,1157
2048,1162
2056,1168
2065,1173
2073,1177
2082,1181
2091,1185
2099,1189
2107,1192
2115,1196
2123,1199
2131,1203
2138,1207
2145,1210
2152,1214
2159,1218
2166,1222
2173,1226
2181,1229
2187,1232
2192,1235
2197,1238
2203,1242
2209,1246
2214,1251
2220,1256
2227,1261
2233,1266
2240,1271
2246,1276
2253,1280
2259,1284
2264,1288
2269,1292
2277,1296
2283,1300
2290,1304
2296,1307
2302,1311
2308,1314
2314,1317
2321,1321
2328,1325
2335,1328
2342,1332
2350,1336
2357,1340
2362,1344
2367,1347
2373,1351
2378,1354
2383,1357
2388,1361
2395,1364
2401,1367
2407,1369
2413,1372
2421,1375
2429,1378
2435,1382
2442,1385
2448,1388
2454,1392
2460,1396
2466,1399
2472,1404
2479,1408
2484,1413
2490,1417
2496,1422
2501,1426
2506,1431
2511,1435
2516,1440
2523,1445
2529,1449
2534,1453
2539,1456
2545,1460
2551,1465
2559,1469
2566,1474
2573,1479
2581,1484
2588,1488
2595,1493
2601,1497
2607,1501
2614,1504
2620,1508
2626,1512
2632,1516
2638,1520
2643,1523
2648,1528
2653,1533
2659,1538
2664,1544
2670,1550
2675,1557
2680,1563
2687,1568
2696,1573
2705,1579
2713,1584
2721,1588
2728,1592
2735,1596
2743,1602
2750,1607
2758,1612
2767,1617
2778,1624
2788,1631
2797,1637
2806,1643
