x,y
2875,0
2854,16
2838,32
2819,48
2802,60
2783,75
2767,88
2751,102
2733,120
2716,134
2699,148
2679,164
2659,179
2641,194
2622,210
2606,224
2588,238
2574,250
2558,262
2538,279
2517,297
2498,311
2479,326
2464,339
2447,352
2432,366
2419,377
2401,390
2386,403
2369,418
2348,437
2328,451
2310,468
2290,483
2274,499
2254,513
2236,528
2219,543
2200,557
2180,575
2155,594
2135,612
2115,629
2096,647
2073,662
2055,678
2038,694
2020,709
2001,727
1983,743
1961,758
1944,771
1927,786
1911,798
1897,810
1879,825
1863,837
1845,850
1828,865
1810,879
1797,891
1778,905
1763,917
1748,929
1732,941
1718,952
1702,965
1687,976
1672,989
1658,1002
1641,1016
1623,1031
1603,1049
1583,1064
1566,1079
1550,1092
1531,1106
1514,1122
1494,1134
1476,1149
1457,1164
1438,1180
1422,1196
1404,1210
1386,1223
1366,1240
1348,1255
1331,1270
1313,1284
1293,1299
1276,1313
1258,1326
1240,1341
1224,1356
1207,1372
1189,1385
1171,1397
1156,1410
1139,1427
1123,1440
1107,1455
1092,1468
1077,1481
1061,1495
1045,1507
1030,1518
1014,1531
998,1544
984,1556
966,1570
952,1583
939,1593
925,1606
912,1616
900,1627
885,1638
869,1650
855,1660
837,1675
822,1688
805,1703
792,1712
778,1723
765,1734
749,1745
735,1756
722,1766
707,1777
694,1788
680,1800
667,1811
651,1825
634,1839
620,1852
606,1863
593,1874
577,1887
561,1901
547,1912
533,1923
515,1938
501,1950
487,1960
474,1971
460,1982
445,1996
428,2008
409,2023
394,2036
376,2047
