x1,y1,x2,y2
1712,897,1725,905
1715,916,1729,929
1737,967,1748,950
1767,928,1781,915
1761,824,1770,835
1593,814,1611,812
1612,819,1620,837
1602,835,1611,843
1575,896,1589,903
1472,827,1486,815
1478,833,1494,851
1469,899,1484,911
1666,892,1678,902
1707,997,1712,1007
1707,1024,1722,1006
1660,1069,1663,1088
1717,1094,1722,1110
1723,1125,1737,1117
1709,1137,1711,1122
1733,1099,1748,1103
1759,1110,1765,1096
1683,1171,1704,1171
1632,1161,1638,1143
1598,1165,1600,1147
1488,1087,1507,1110
1481,1082,1495,1070
1489,1122,1493,1135
1443,1195,1447,1181
1368,1148,1379,1132
1415,1130,1430,1129
1207,1170,1216,1162
1235,1185,1243,1177
1322,1111,1330,1124
1323,1144,1335,1136
1325,1177,1334,1167
1359,1169,1369,1178
1155,1214,1163,1205
1170,1200,1186,1197
981,1230,992,1236
992,1220,1003,1216
981,1161,998,1154
1038,1156,1050,1162
1054,1222,1071,1224
1102,1221,1113,1227
1026,1231,1035,1239
936,1142,947,1154
906,1204,916,1217
844,1167,851,1183
869,1131,879,1137
840,1104,863,1089
713,1124,724,1102
695,1140,714,1150
689,1123,704,1114
739,1143,745,1133
754,1126,762,1139
756,1151,758,1165
811,1197,816,1181
723,1182,742,1185
612,1129,634,1128
549,1133,558,1133
563,1148,575,1150
598,1158,607,1160
542,1033,555,1036
648,1084,648,1070
646,970,678,1001
636,913,642,925
659,929,665,942
784,957,798,958
721,892,744,885
841,906,846,921
821,939,834,948
919,937,937,924
888,911,894,919
961,957,968,946
959,992,969,981
1026,895,1038,893
1036,933,1044,935
1020,910,1022,937
1043,982,1050,966
952,1059,968,1064
975,1078,985,1086
957,1094,964,1101
1042,1040,1044,1024
1057,1011,1068,1011
1096,1044,1110,1036
1037,1132,1046,1124
1051,1119,1065,1119
1153,1114,1161,1121
1248,1124,1259,1104
1279,1035,1281,1025
1289,1020,1304,1022
1285,1039,1291,1052
1331,1035,1340,1045
1149,982,1157,983
1153,992,1157,1000
1172,919,1189,926
1221,923,1231,936
1261,922,1275,922
1145,823,1156,825
1152,832,1160,840
1136,868,1148,882
1145,854,1147,837
1216,806,1220,785
1230,799,1236,812
1247,860,1259,849
1246,901,1256,898
1067,725,1066,740
1075,711,1086,714
1166,736,1172,748
1187,766,1201,759
1249,724,1265,735
1095,621,1096,605
1030,621,1041,608
1183,615,1205,617
1121,666,1123,655
1144,684,1155,674
1214,682,1218,670
1243,654,1249,648
1040,533,1048,524
1091,558,1106,546
1129,537,1137,524
1122,527,1127,518
1158,529,1176,505
1173,491,1181,488
1191,524,1191,507
1201,505,1209,525
1219,511,1224,522
1147,576,1162,574
1198,574,1195,558
1221,577,1222,590
1252,508,1265,516
1270,523,1285,519
1328,481,1342,480
1338,442,1347,450
1346,453,1359,451
1362,502,1374,496
1206,432,1215,436
1083,443,1095,438
1058,380,1072,386
1096,382,1095,401
1111,392,1114,379
1112,364,1118,373
1128,414,1133,402
1304,579,1307,595
1286,641,1298,644
1332,633,1330,646
1342,646,1351,646
1349,657,1358,650
1299,701,1308,691
1367,702,1377,713
1392,692,1392,675
1394,614,1416,602
1410,587,1424,602
1436,633,1451,635
1457,657,1475,641
1485,600,1500,599
1523,635,1530,645
1566,659,1587,663
1590,610,1596,599
1482,697,1498,706
1511,695,1518,685
1531,704,1539,702
1535,733,1540,720
1543,731,1552,737
1569,707,1576,700
1625,692,1624,703
1448,745,1462,737
1420,784,1433,792
1462,785,1474,777
1414,826,1426,832
1425,844,1439,845
1286,862,1285,843
1315,875,1326,880
1302,890,1326,892
1310,885,1325,904
1356,841,1357,857
1339,819,1343,809
1360,791,1362,777
1342,753,1364,743
927,601,940,605
1010,605,1018,612
927,644,938,640
915,658,915,642
937,670,947,668
828,683,828,674
844,700,852,691
912,705,925,700
894,681,910,671
854,738,864,727
843,759,856,755
916,762,932,760
711,756,731,742
750,737,760,727
739,763,751,761
685,774,692,801
647,795,659,792
711,839,716,828
732,856,734,838
752,817,759,805
661,746,663,730
612,676,620,690
641,674,663,663
551,719,570,721
545,741,547,752
523,753,524,770
514,765,528,767
477,741,480,756
426,807,425,825
431,839,436,824
517,855,533,845
591,874,604,887
247,737,263,728
281,724,294,717
392,667,395,650
346,680,348,667
350,690,360,679
358,706,365,690
475,652,487,648
455,620,465,601
429,631,432,618
429,698,439,705
563,732,568,723
687,705,700,706
717,694,730,697
724,676,719,662
732,632,748,647
700,587,712,598
711,567,722,566
718,554,730,565
743,568,750,570
772,569,774,581
634,525,647,527
708,486,711,497
724,513,728,487
738,514,752,522
756,479,766,476
780,488,782,505
784,480,794,489
780,447,793,452
768,420,776,433
689,385,696,370
570,347,602,363
515,283,525,277
544,269,546,280
568,265,578,272
586,256,597,270
568,299,580,281
611,292,620,276
644,255,655,260
687,188,686,205
726,233,732,220
740,204,756,202
826,173,834,167
820,184,834,187
868,222,879,241
733,255,739,263
735,236,738,249
799,294,794,273
800,337,806,324
820,320,829,306
835,321,844,322
828,334,839,335
815,345,837,349
848,331,843,350
829,402,843,398
870,347,879,344
916,310,919,296
952,332,961,344
972,316,988,316
1000,338,1015,336
1009,348,1022,346
1024,353,1028,364
1011,272,1032,271
972,269,980,272
1082,299,1090,298
1104,269,1113,283
1166,351,1187,364
1161,330,1164,344
1186,277,1192,288
1129,237,1142,244
1152,236,1158,224
1260,324,1263,338
1233,359,1242,370
1279,329,1295,327
1295,367,1310,384
1344,372,1349,382
1350,363,1372,361
1361,321,1372,307
1381,373,1392,382
1518,576,1537,571
1591,525,1594,537
1627,512,1636,493
1673,535,1691,544
1687,560,1698,553
1583,476,1576,450
1609,360,1615,377
1657,362,1668,347
1767,453,1776,471
1694,324,1705,308
1731,291,1745,287
1585,297,1600,299
1510,211,1524,201
1586,229,1601,243
1515,266,1521,277
1434,273,1448,270
1459,324,1467,304
1443,374,1444,358
1467,345,1482,335
1504,324,1531,314
1530,364,1538,352
1478,376,1489,363
1291,221,1305,202
1318,200,1326,208
1334,188,1336,165
1342,225,1345,201
1240,133,1253,130
1378,238,1377,215
1454,183,1463,171
1433,145,1468,145
1470,135,1482,143
1487,155,1500,160
1496,166,1511,170
1526,133,1530,116
1567,168,1580,166
1590,152,1603,141
1600,84,1617,77
1599,71,1608,85
1489,44,1507,54
1555,24,1555,37
1694,37,1697,52
1741,33,1753,35
1738,14,1746,20
1730,79,1737,68
1824,122,1829,106
1859,38,1869,57
1904,79,1911,70
1919,102,1932,94
2020,77,2024,67
1776,191,1787,186
1792,204,1811,222
1832,238,1843,231
1895,214,1898,195
2021,249,2028,261
2039,200,2043,225
2051,165,2058,150
2065,177,2073,190
2120,137,2131,126
2125,224,2135,214
2160,177,2173,173
2198,183,2202,195
2230,169,2244,167
2168,102,2174,112
2152,224,2165,205
2278,157,2296,150
2238,222,2240,237
2187,53,2200,60
2192,82,2208,90
2243,87,2243,107
2155,15,2168,28
2063,23,2071,25
2072,40,2094,38
2317,31,2324,45
2347,127,2361,128
2428,104,2435,127
2377,223,2387,231
2405,289,2412,278
2486,253,2499,245
2513,125,2522,108
2516,129,2532,129
2563,187,2568,174
2580,163,2588,147
2456,54,2462,44
2476,43,2476,58
2478,12,2489,13
2646,58,2653,48
2652,135,2659,152
2620,234,2622,218
2628,261,2640,246
