x1,y1,x2,y2
2257,19,2268,9
2271,23,2275,3
2209,6,2214,1
2221,11,2230,1
2183,49,2205,31
2248,59,2252,72
2218,75,2230,69
2253,37,2228,51
2166,54,2176,54
2153,61,2161,51
2153,65,2166,63
2150,210,2157,201
2146,188,2156,176
2139,183,2146,174
2149,159,2155,147
2113,175,2121,170
2119,157,2125,145
2108,168,2111,163
2102,159,2106,148
2087,191,2092,183
2059,203,2065,193
2068,213,2077,204
2116,233,2120,226
2130,216,2128,210
2137,222,2134,214
2102,187,2108,182
2079,218,2083,209
2100,250,2106,241
2083,266,2088,255
2055,229,2065,221
2037,233,2045,224
2012,267,2022,253
2033,263,2043,250
2025,289,2044,259
2035,284,2040,275
2008,290,2013,282
2018,285,2030,269
2069,302,2079,287
2084,280,2086,296
2058,329,2061,320
2053,313,2062,299
2010,313,2018,307
1999,322,2003,311
1989,323,1996,311
1970,340,1976,332
1979,344,1991,332
2019,360,2029,345
1938,366,1946,359
1955,356,1966,345
1966,360,1973,351
2000,396,2002,386
1992,398,2007,410
1987,436,1996,421
1977,429,1982,418
1963,442,1967,432
1971,426,1976,414
1950,444,1960,435
1973,452,1976,441
1945,456,1951,450
1940,481,1949,468
1932,478,1938,473
1918,442,1928,430
1931,392,1934,381
1931,400,1938,392
1912,417,1918,406
1919,420,1928,410
1906,439,1914,427
1903,430,1907,422
1897,455,1899,441
1896,462,1904,454
1925,424,1933,414
2113,135,2125,124
2112,124,2122,117
2122,108,2124,101
2130,104,2136,92
2144,94,2151,76
2181,139,2187,119
2190,134,2195,125
2171,138,2180,115
2171,119,2178,109
1929,490,1930,481
1911,510,1923,503
1876,499,1876,486
1858,499,1859,487
1829,516,1840,504
1830,530,1835,520
1838,532,1846,525
1858,515,1868,504
1880,508,1886,498
1892,561,1895,549
1881,568,1885,554
1868,580,1877,559
1865,552,1875,542
1843,590,1852,571
1854,604,1856,590
1834,613,1842,603
1822,638,1835,622
1821,629,1827,619
1777,599,1787,599
1794,608,1799,592
1811,560,1817,551
1832,547,1841,540
1837,553,1844,542
1813,574,1815,560
1822,574,1823,562
1762,639,1768,627
1788,628,1793,638
1793,625,1800,618
1807,646,1816,634
1816,653,1834,640
1822,667,1829,648
1751,660,1751,646
1737,684,1745,674
1745,685,1750,676
1757,656,1762,647
1761,665,1765,652
1748,694,1758,683
1712,710,1713,697
1718,698,1725,689
1703,707,1709,695
1789,691,1799,675
1795,699,1805,678
1801,704,1810,690
1775,741,1783,727
1779,720,1786,709
1773,717,1783,706
1750,747,1763,743
1763,765,1771,749
1731,708,1733,696
1734,711,1745,703
1714,719,1724,711
1705,735,1723,723
1733,765,1744,745
1727,785,1729,773
1729,797,1734,785
1701,806,1710,802
1687,821,1699,815
1676,844,1689,830
1657,772,1669,764
1680,741,1688,735
1662,788,1671,781
1650,790,1659,782
1625,807,1635,798
1641,803,1654,794
1645,814,1650,801
1642,861,1652,848
1630,883,1639,874
1631,903,1635,894
