x1,y1,x2,y2
3041,48,3056,29
3026,66,3033,48
3012,64,3023,49
3004,61,3013,48
2986,70,2999,51
3009,68,3025,69
2975,90,2995,91
2970,101,2984,98
2962,72,2976,66
2955,61,2967,61
2940,80,2951,54
2907,72,2928,53
2882,53,2906,43
2880,132,2897,118
2853,142,2871,133
2896,161,2911,140
2935,133,2949,120
2827,167,2855,163
2863,184,2887,167
2868,192,2880,182
2825,194,2845,179
2832,117,2853,108
2784,174,2799,164
2759,191,2795,182
2776,203,2795,190
2774,225,2799,223
2796,216,2804,204
2821,207,2835,194
2821,219,2831,208
2796,238,2807,225
2748,254,2764,227
2706,222,2718,213
2679,264,2680,239
2663,244,2685,245
2707,273,2722,268
2734,284,2745,274
2744,286,2760,280
2795,146,2812,137
2769,162,2788,144
2749,180,2765,160
2599,296,2622,274
2573,321,2588,308
2578,330,2592,319
2593,327,2611,315
2644,312,2655,306
2722,303,2746,295
2713,317,2732,308
2695,315,2709,303
2686,334,2699,320
2670,336,2682,322
2663,329,2684,314
2640,378,2657,362
2632,365,2631,334
2575,357,2586,349
2593,360,2613,350
2595,373,2602,360
2609,368,2623,358
2603,375,2615,372
2609,382,2612,399
2578,403,2600,394
2563,399,2570,385
2522,359,2543,339
2520,351,2539,355
2492,407,2508,390
2471,435,2475,416
2513,441,2531,436
2521,450,2538,425
2533,476,2541,459
2481,465,2488,454
2480,520,2494,507
2497,490,2508,471
2506,497,2520,469
2457,525,2452,507
2446,525,2456,547
2441,529,2442,543
2456,439,2471,446
2449,447,2455,425
2442,442,2448,425
2454,454,2468,469
2415,488,2430,462
2428,483,2432,468
2380,520,2383,503
2421,437,2451,419
2334,527,2348,517
2338,537,2359,525
2385,595,2395,583
2341,577,2351,553
2342,603,2357,594
2359,619,2372,627
2313,616,2333,603
2316,602,2325,586
2299,596,2307,571
2276,605,2294,602
2293,591,2306,572
2264,655,2286,608
2185,651,2208,634
2179,640,2195,618
2212,614,2224,603
2223,654,2237,643
2152,656,2170,646
2132,669,2149,670
2157,667,2170,653
2127,688,2155,680
2197,688,2215,703
2223,712,2237,701
2257,704,2257,687
2246,718,2255,725
2253,716,2263,704
2073,737,2086,715
2089,728,2098,713
2070,722,2093,727
2127,744,2136,735
2148,771,2168,755
2187,751,2204,735
2087,759,2098,738
2101,767,2102,755
2064,768,2077,762
2082,773,2097,770
2139,791,2163,777
2158,792,2166,783
2128,801,2149,795
2085,803,2109,792
2100,817,2107,801
2047,751,2061,759
2028,784,2060,779
1991,811,2010,809
2039,799,2068,797
2056,828,2068,821
2118,827,2134,806
2081,842,2090,825
2076,863,2097,840
2045,860,2068,871
2017,836,2027,840
2006,871,2022,846
2032,877,2054,875
2049,886,2062,878
2007,898,2018,884
