track,slice,x,y
1,1,1246,801
1,4,1248,802
1,7,1246,805
1,10,1242,804
1,13,1245,808
1,16,1247,810
1,19,1248,810
1,22,1250,810
1,25,1251,813
1,28,1254,816
1,31,1262,821
1,34,1268,824
1,37,1273,829
1,40,1279,833
1,43,1292,839
1,46,1296,841
1,49,1302,843
1,52,1306,847
1,55,1313,852
1,58,1318,855
1,61,1320,857
1,64,1327,859
1,67,1330,861
1,70,1333,863
1,73,1336,865
1,76,1343,867
1,79,1348,870
1,82,1349,871
1,85,1354,871
1,88,1357,872
1,91,1361,879
1,94,1368,884
1,97,1373,885
1,100,1380,885
1,103,1382,885
1,106,1382,885
1,109,1383,888
1,112,1383,889
1,115,1383,886
1,118,1385,883
1,121,1385,882
1,124,1381,874
1,127,1379,870
1,130,1370,865
1,133,1371,865
1,136,1365,862
1,139,1360,861
1,142,1358,860
1,145,1358,858
1,148,1357,856
1,151,1354,853
1,154,1353,852
1,157,1350,850
1,160,1341,848
1,163,1342,846
1,166,1339,844
1,169,1335,842
1,172,1336,845
1,175,1336,844
1,178,1337,845
1,181,1342,849
1,184,1351,852
1,187,1355,853
1,190,1357,857
1,193,1365,867
1,196,1368,873
1,199,1369,878
1,202,1367,881
1,205,1366,884
1,208,1366,887
1,211,1365,888
1,214,1360,886
1,217,1359,881
1,220,1356,878
1,223,1354,877
1,226,1352,877
1,229,1350,872
1,232,1347,868
1,235,1346,866
1,238,1342,860
1,241,1345,858
1,244,1345,855
1,247,1342,853
1,250,1344,853
1,253,1345,855
1,256,1346,857
1,259,1344,858
1,262,1341,861
1,265,1338,867
1,268,1339,869
1,271,1334,866
1,274,1333,860
1,277,1332,856
1,280,1333,852
1,283,1334,846
1,286,1334,846
1,289,1332,845
1,292,1328,842
1,295,1323,840
1,298,1320,838
1,301,1316,836
1,304,1307,833
1,307,1305,827
1,310,1301,824
1,313,1298,823
1,316,1292,820
1,319,1286,819
1,322,1282,817
1,325,1277,815
1,328,1274,812
1,331,1270,809
1,334,1270,811
1,337,1264,813
1,340,1265,814
1,343,1265,814
1,346,1264,814
1,349,1264,815
1,352,1264,817
1,355,1266,817
1,358,1263,819
1,361,1264,819
1,364,1262,819
1,367,1263,818
1,370,1265,818
1,373,1275,820
1,376,1279,825
1,379,1280,829
1,382,1282,832
1,385,1281,830
1,388,1276,827
1,391,1278,828
1,394,1279,826
1,397,1283,823
1,400,1284,822
1,403,1289,817
1,406,1297,819
1,409,1307,823
1,412,1309,825
